COLLEGE BASKETBALL TRUE HOME COURT ADVANTAGE (since start of 2021-22 season),,,,,,,,,,,,,,
,,ALL GAMES,,,,,,,,,CONFERENCE GAMES,,,
,,SU,ATS,Avg,Avg,Exp,Avg,,Actual,True,SU,ATS,True,Conf
Team,Conference,W-L (%),W-L (%),TmPR,OppPR,PPG+/-,Line,PF-PA,PPG+/-,HFEdge,W-L (%),W-L (%),HFEdge,+/-
BAYLOR,Big 12,38-5 (88%),26-17 (60%),88.8,73.8,15,-17.9,83-62.7,20.3,5.3,15-5 (75%),10-10 (50%),2.6,-2.7
N TEXAS,American Athletic,29-5 (85%),20-14 (59%),77.6,70.2,7.4,-10.1,68.3-55.6,12.7,5.3,18-3 (86%),13-8 (62%),4.5,-0.8
TENNESSEE ST,Ohio Valley,20-11 (65%),19-12 (61%),63.3,63.4,-0.1,-2.9,77.4-72.2,5.2,5.3,14-8 (64%),15-7 (68%),5.7,0.4
TEXAS TECH,Big 12,40-6 (87%),26-20 (57%),84.2,73.9,10.3,-13.6,78.5-63,15.5,5.2,15-6 (71%),13-8 (62%),5.1,-0.1
CLEMSON,ACC,33-9 (79%),24-17 (59%),80,74.3,5.7,-8.4,77.9-67,10.9,5.2,15-8 (65%),13-9 (59%),5.4,0.2
ST THOMAS-MN,Summit,17-11 (61%),16-12 (57%),65.8,65.3,0.5,-2.7,75.7-70,5.7,5.2,10-10 (50%),11-9 (55%),4,-1.2
DENVER,Summit,16-12 (57%),14-14 (50%),63.1,65.1,-2,-0.3,76.7-73.5,3.2,5.2,9-11 (45%),8-12 (40%),4,-1.2
IONA,Metro Atlantic,30-4 (88%),18-16 (53%),75.4,67.4,8,-10.3,77.2-64.1,13.1,5.1,21-2 (91%),13-10 (57%),4.5,-0.6
DREXEL,Colonial Athletic,25-8 (76%),20-11 (65%),70.7,66.8,3.9,-5.7,72.6-63.6,9,5.1,17-5 (77%),13-7 (65%),5.4,0.3
NC CENTRAL,Mid-Eastern,16-4 (80%),12-7 (63%),65.3,63.6,1.7,-4.5,72.9-66.1,6.8,5.1,12-3 (80%),9-6 (60%),4,-1.1
MONTANA,Big Sky,24-9 (73%),18-15 (55%),69.6,66.2,3.4,-6.6,73.7-65.3,8.4,5,13-7 (65%),8-12 (40%),3.1,-1.9
